split_id,repeat_id,fold_id,firm,y_true,rating,p_a,p_b
1,1,1,E1,0,A,0.023347858699455017,2.400489975315325e-06
1,1,1,E106,0,B,0.3658227671317148,0.30439628561436655
1,1,1,E113,1,D,0.8849584971915888,0.9029274766805421
1,1,1,E117,1,D,0.7249348503191552,0.7431964274664604
1,1,1,E120,1,D,0.9774354138650717,0.38695531541369427
1,1,1,E121,1,D,0.5844042643647633,0.6679292516414767
1,1,1,E16,0,A,0.12046714692008707,0.0028609714050439263
1,1,1,E18,0,A,0.1218759926627416,1.472073981914999e-06
1,1,1,E19,0,A,0.07026730872177656,1.147554250876634e-06
1,1,1,E21,0,B,0.07423480505529809,5.101282736927811e-06
1,1,1,E22,0,A,0.07651976800033741,0.011127593125457753
1,1,1,E27,0,A,0.11007027896663495,2.2697554679872666e-06
1,1,1,E30,0,B,0.12038922601335869,6.886579672826333e-05
1,1,1,E31,0,A,0.07160926694447156,0.009521977111650459
1,1,1,E32,0,B,0.2105677141518136,0.4545500311710246
1,1,1,E48,0,A,0.10424187229734916,0.0009938288959864827
1,1,1,E54,0,A,0.08656500803722254,0.03089709571008654
1,1,1,E61,0,B,0.10981452411758114,0.0057865582716531225
1,1,1,E62,0,B,0.25881673407299416,0.0032335680550888146
1,1,1,E64,0,A,0.12312604346487585,0.02177832802771406
1,1,1,E76,0,B,0.26735365151698165,0.015065201487089739
1,1,1,E79,0,B,0.35157619701616744,0.1751819830878804
1,1,1,E8,0,A,0.047955155049040764,0.10204761542738684
1,1,1,E82,1,D,0.27906793862558943,0.4035082003202627
1,1,1,E98,0,B,0.31096649460030623,0.009645030632013102
2,1,2,E102,1,D,0.6088733851764595,0.8005885668093976
2,1,2,E104,0,C,0.4580592944866648,0.33054172463769244
2,1,2,E109,1,D,0.5302420834973434,0.8485683885030059
2,1,2,E112,1,D,0.5784489943807128,0.22592857999126995
2,1,2,E114,1,D,0.6052813696085082,0.024569448036062085
2,1,2,E14,0,C,0.14535283430260884,1e-06
2,1,2,E20,0,B,0.12958415262812573,2.4444584627089224e-05
2,1,2,E3,0,C,0.06768197084634742,3.978046294948751e-05
2,1,2,E36,1,D,0.16338045723623387,3.884215123492341e-06
2,1,2,E40,0,C,0.17434757962339834,0.010044041968445765
2,1,2,E42,0,A,0.24227827959727335,0.329586235193591
2,1,2,E43,0,B,0.3563304967548917,0.10988320175699044
2,1,2,E44,0,C,0.13198101371516396,0.0005932846230904293
2,1,2,E47,0,C,0.17039616845887554,1e-06
2,1,2,E53,0,C,0.1483787203452067,0.010525621613597444
2,1,2,E56,0,C,0.23816483967010915,0.0008639040044738963
2,1,2,E67,0,B,0.3949467034713925,0.016689499377215453
2,1,2,E75,0,C,0.13747123019521743,0.0008510939462789576
2,1,2,E83,0,B,0.345894755358567,1e-06
2,1,2,E87,1,C,0.5416437390533767,0.4187975459732466
2,1,2,E88,0,A,0.30384582375403046,0.0011788168790051806
2,1,2,E91,0,A,0.35668073811503687,0.0005888887361001289
2,1,2,E92,0,C,0.5124060883646686,0.852520809275211
2,1,2,E93,0,B,0.4482910096395066,0.042744003152781915
2,1,2,E96,0,C,0.5271823047690162,0.7393464475362801
3,1,3,E10,0,B,0.09082294298594404,0.007025656492511876
3,1,3,E103,1,D,0.35593102648655073,0.012355030919329801
3,1,3,E11,0,C,0.07371708653213574,0.0014857815472475947
3,1,3,E115,1,D,0.7480570085233662,0.6664184938629486
3,1,3,E118,1,D,0.4498710803734665,0.027923488329549138
3,1,3,E12,0,B,0.10650971311969319,0.004044429413170874
3,1,3,E13,0,A,0.08933934197068069,0.03346091853223864
3,1,3,E28,0,B,0.07794424425838768,0.0146914740289689
3,1,3,E29,1,C,0.09125737714311029,0.06164031099106603
3,1,3,E39,0,C,0.1801679246774603,0.3727223365229115
3,1,3,E4,0,C,0.039145378586369385,0.0005089700029904852
3,1,3,E45,1,B,0.08736647446540786,9.29319724766917e-05
3,1,3,E5,0,B,0.05052440788087356,4.069856242998808e-05
3,1,3,E57,0,B,0.08329050714511288,0.0006521064474476569
3,1,3,E59,0,A,0.09489919105420369,0.004929389052240434
3,1,3,E60,0,B,0.23368449101866925,0.2651441141897759
3,1,3,E63,0,B,0.1397098397158292,0.012179256863884142
3,1,3,E70,0,B,0.21759560273657036,0.00038684691426225937
3,1,3,E71,0,B,0.14910155702415523,0.008379998397722773
3,1,3,E73,0,C,0.23684033505952382,0.6195305280672393
3,1,3,E84,0,A,0.16466721057417416,0.0055923761074102175
3,1,3,E85,0,B,0.2662231272452873,0.01754330734701288
3,1,3,E95,0,B,0.091036143595802,0.009565152507910745
3,1,3,E97,0,B,0.21577901606530064,0.15923806192764106
3,1,3,E99,1,D,0.6161195955789099,0.9035806169388817
4,1,4,E101,1,D,0.9033794204204472,0.9564390275115006
4,1,4,E107,1,D,0.45368133319909876,0.13980969582834846
4,1,4,E110,0,C,0.6519170827594744,0.03719438580437077
4,1,4,E119,1,D,0.7733094244381492,0.740470053461224
4,1,4,E123,1,D,0.7447718102443643,0.666321799225335
4,1,4,E15,0,A,0.10232957401184667,0.0017119701732515554
4,1,4,E17,0,A,0.14680197215937296,3.1518694899562845e-06
4,1,4,E23,0,B,0.1078946749883851,0.039929048446643335
4,1,4,E37,0,B,0.17955291047567545,0.0008595305001395492
4,1,4,E41,0,C,0.2282503934370303,0.00045175891544880635
4,1,4,E46,0,C,0.24883692329704996,0.0005850279883831248
4,1,4,E51,0,B,0.16383209183060274,0.0005766078556703172
4,1,4,E52,1,D,0.20149122564400265,0.5156384313318043
4,1,4,E55,0,C,0.19607613716359237,0.07004548553441658
4,1,4,E58,0,B,0.3107070875167224,0.019863545586395425
4,1,4,E6,0,A,0.14098513965751386,6.9579133450170875e-06
4,1,4,E65,0,B,0.39099959125539757,0.011262643668436515
4,1,4,E69,0,C,0.035954488932559904,0.10771904556750411
4,1,4,E7,0,A,0.07784702072712768,0.014638745844648283
4,1,4,E72,0,C,0.37514267830686004,0.01999294353464348
4,1,4,E80,0,C,0.44729396742037997,0.1912425379785226
4,1,4,E81,0,A,0.3506094076555351,0.0009588647217061901
4,1,4,E9,0,A,0.13741480672426307,0.03998553568317237
4,1,4,E94,0,C,0.3028730010059871,0.38133008555281267
5,1,5,E100,1,D,0.22156874307188487,0.0680896388046168
5,1,5,E105,0,C,0.34914969106210314,0.036436923371232784
5,1,5,E108,1,D,0.6344788416296963,0.83682361285985
5,1,5,E111,1,D,0.22506641328029212,0.7685702305679292
5,1,5,E116,1,D,0.5265549547749259,0.5828543055801012
5,1,5,E122,1,D,0.42511937139450534,0.26301612795977686
5,1,5,E2,0,A,0.0691842894348524,0.012326274649079892
5,1,5,E24,0,A,0.21287045259964438,0.0004653392594392187
5,1,5,E25,0,C,0.2396544072735171,0.0032846119163415653
5,1,5,E26,0,A,0.4028746884021968,2.7797681596125947e-05
5,1,5,E33,0,B,0.2257289254388298,7.515398944475131e-05
5,1,5,E34,0,B,0.21230820309600126,0.33195476352061876
5,1,5,E35,0,B,0.17008472181986736,0.3445863713817628
5,1,5,E38,0,B,0.31113965072028704,0.00180709286188887
5,1,5,E49,0,C,0.30682627229971127,0.0006540491025667648
5,1,5,E50,0,C,0.23749214827949144,0.49223863663172956
5,1,5,E66,0,B,0.3052846131005056,0.16003498943853267
5,1,5,E68,0,C,0.4614718241190274,0.038238584799380734
5,1,5,E74,0,B,0.18386737365394745,0.03662084022986934
5,1,5,E77,0,C,0.3333159521262719,0.2600269128032852
5,1,5,E78,0,C,0.3832993318384376,0.019879819975365257
5,1,5,E86,0,C,0.07904113011437991,0.015863908966844507
5,1,5,E89,0,A,0.5482771573981012,0.8202131447040121
5,1,5,E90,0,C,0.4615947836673756,0.7004110884456265
6,2,1,E106,0,B,0.49160464148232924,0.4933690480213656
6,2,1,E113,1,D,0.9344461257219091,0.9585666226939439
6,2,1,E13,0,A,0.1479859850854323,0.11637969364456967
6,2,1,E18,0,A,0.19795692662692788,1e-06
6,2,1,E19,0,A,0.12908006663747906,2.1184911225177628e-06
6,2,1,E20,0,B,0.13635746994635298,0.0014723534064027925
6,2,1,E25,0,C,0.2649922530732901,3.921346382092709e-06
6,2,1,E32,0,B,0.3187671890848867,0.8818705754698125
6,2,1,E34,0,B,0.1837352844144968,0.9413865623231009
6,2,1,E36,1,D,0.1670979482734938,1.236427278254822e-06
6,2,1,E52,1,D,0.2520775056419972,0.9944350065995197
6,2,1,E57,0,B,0.20093243400280494,0.45205192414431483
6,2,1,E60,0,B,0.46085315077098155,0.00012377328789350638
6,2,1,E63,0,B,0.2985391785134712,3.5449652062308356e-05
6,2,1,E68,0,C,0.5192854102096027,0.4188672268115199
6,2,1,E70,0,B,0.4339359669900968,1e-06
6,2,1,E71,0,B,0.32035233137829966,0.0003871790571724939
6,2,1,E74,0,B,0.1938381828544478,0.10899624060697029
6,2,1,E81,0,A,0.2957363619576567,1.705213931023537e-05
6,2,1,E82,1,D,0.4463259087801737,7.096346062980319e-05
6,2,1,E84,0,A,0.2962194729946765,0.024711373602672834
6,2,1,E87,1,C,0.5348634290280536,0.00025794099578501213
6,2,1,E88,0,A,0.34771185806360755,0.0005581061691601715
6,2,1,E89,0,A,0.45862789433183254,0.5545796576156438
6,2,1,E90,0,C,0.4978964822364946,0.6002864315959163
7,2,2,E100,1,D,0.4162270966774947,0.3335406365803682
7,2,2,E101,1,D,0.8180804762875103,0.9345647199897339
7,2,2,E107,1,D,0.4741806057224309,0.487734451147449
7,2,2,E11,0,C,0.20995455873698296,0.0016088187486255326
7,2,2,E112,1,D,0.5278233193830176,0.2620658127838888
7,2,2,E114,1,D,0.6812939771246316,0.026822893939483998
7,2,2,E121,1,D,0.5135009806817981,0.5449018277574732
7,2,2,E15,0,A,0.13447651017760467,0.001742414696553559
7,2,2,E26,0,A,0.32035307208459046,1e-06
7,2,2,E27,0,A,0.305883952779799,1e-06
7,2,2,E31,0,A,0.20593068354291916,0.008232446726102233
7,2,2,E35,0,B,0.16188440728189882,0.8360742148000629
7,2,2,E39,0,C,0.40678603601278274,0.26490951084277964
7,2,2,E4,0,C,0.19116246729882042,0.0007668182978964307
7,2,2,E51,0,B,0.16107426556983578,0.000595778241389244
7,2,2,E56,0,C,0.2665878007142691,0.0010912892426364446
7,2,2,E6,0,A,0.17484243224144175,1.913872254785581e-06
7,2,2,E64,0,A,0.18391901410068096,0.021557540335970866
7,2,2,E66,0,B,0.32747537945209626,0.024649965012732988
7,2,2,E76,0,B,0.42594354560840647,0.014193493416372792
7,2,2,E77,0,C,0.2899953505182133,0.31030000459075147
