enterprise_id,enterprise_name,normalized_name,industry_code,industry_label,matched_keyword,mapping_status,confidence,mapping_source,notes
E124,个体经营E124,个体经营E124,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E125,个体经营E125,个体经营E125,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E126,个体经营E126,个体经营E126,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E127,个体经营E127,个体经营E127,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E128,个体经营E128,个体经营E128,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E129,个体经营E129,个体经营E129,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E130,个体经营E130,个体经营E130,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E131,个体经营E131,个体经营E131,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E132,个体经营E132,个体经营E132,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E133,个体经营E133,个体经营E133,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E134,***工程咨询有限公司,***工程咨询有限公司,other_services,其他服务业,工程咨询,high_specific_rule,1.0,q3_name_keyword_rules_v1,单一行业命中高特异关键词
E135,***建设工程有限公司,***建设工程有限公司,construction,建筑业,建设工程,high_specific_rule,1.0,q3_name_keyword_rules_v1,单一行业命中高特异关键词
E136,***机械有限责任公司,***机械有限责任公司,unknown,未知行业,unknown:机械,low_specific_or_unmatched_unknown,0.0,q3_name_keyword_rules_v1,仅命中低特异关键词，未直接分类
E137,***建设工程有限公司,***建设工程有限公司,construction,建筑业,建设工程,high_specific_rule,1.0,q3_name_keyword_rules_v1,单一行业命中高特异关键词
E138,个体经营E138,个体经营E138,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E139,个体经营E139,个体经营E139,unknown,未知行业,,generic_unknown,0.0,q3_name_keyword_rules_v1,个体经营E编号不含行业证据，按阶段合同强制unknown
E140,***建筑工程有限公司,***建筑工程有限公司,construction,建筑业,建筑工程,high_specific_rule,1.0,q3_name_keyword_rules_v1,单一行业命中高特异关键词
E141,***食品有限公司,***食品有限公司,unknown,未知行业,unknown:有限公司,low_specific_or_unmatched_unknown,0.0,q3_name_keyword_rules_v1,仅命中低特异关键词，未直接分类
E142,***运业有限公司,***运业有限公司,transport_storage_post,交通运输、仓储和邮政业,运业,high_specific_rule,1.0,q3_name_keyword_rules_v1,单一行业命中高特异关键词
